<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,D,20150207,000000,223.2000000,230.5000000,222.6700000,229.0000000,4079
GDAX.BTC-USD,D,20150208,000000,229.1600000,231.6000000,220.0000000,223.9900000,4255
GDAX.BTC-USD,D,20150209,000000,224.0100000,225.0000000,216.4500000,221.1000000,6524
GDAX.BTC-USD,D,20150210,000000,221.1300000,222.0000000,215.0000000,220.8700000,5387
GDAX.BTC-USD,D,20150211,000000,221.0700000,223.6100000,217.4600000,219.8100000,8959
GDAX.BTC-USD,D,20150212,000000,219.9600000,224.6100000,218.0000000,223.2100000,7842
GDAX.BTC-USD,D,20150213,000000,223.2000000,242.3600000,221.5500000,236.4900000,15252
GDAX.BTC-USD,D,20150214,000000,236.9200000,259.9800000,236.0800000,256.6600000,15290
GDAX.BTC-USD,D,20150215,000000,256.6600000,267.8600000,228.0000000,235.5400000,16918
GDAX.BTC-USD,D,20150216,000000,235.5400000,241.0000000,229.6000000,234.6800000,10493
GDAX.BTC-USD,D,20150217,000000,234.4100000,248.0000000,233.0000000,244.8200000,16801
GDAX.BTC-USD,D,20150218,000000,244.9000000,246.0000000,231.9300000,237.4900000,12900
GDAX.BTC-USD,D,20150219,000000,237.4900000,245.0000000,235.5800000,240.9000000,9440
GDAX.BTC-USD,D,20150220,000000,241.1100000,248.3200000,239.9900000,245.3400000,11173
GDAX.BTC-USD,D,20150221,000000,245.3400000,248.4300000,244.0000000,245.9900000,6196
GDAX.BTC-USD,D,20150222,000000,245.7200000,247.4800000,234.0100000,236.8300000,8248
GDAX.BTC-USD,D,20150223,000000,236.8300000,240.9700000,232.0000000,239.4900000,9992
GDAX.BTC-USD,D,20150224,000000,239.4900000,241.9100000,235.5100000,239.8700000,8896
GDAX.BTC-USD,D,20150225,000000,239.8700000,241.0000000,235.1000000,238.1900000,7794
GDAX.BTC-USD,D,20150226,000000,238.2100000,238.4700000,234.3300000,237.1100000,8534
GDAX.BTC-USD,D,20150227,000000,237.2100000,259.0000000,236.2900000,254.4200000,20688
GDAX.BTC-USD,D,20150228,000000,254.4200000,256.9700000,250.0000000,255.5900000,7464
GDAX.BTC-USD,D,20150301,000000,255.7300000,262.0000000,244.8800000,260.2400000,10392
GDAX.BTC-USD,D,20150302,000000,260.2900000,279.8000000,256.6000000,276.7000000,18196
GDAX.BTC-USD,D,20150303,000000,276.7900000,289.5000000,267.0700000,283.2700000,18811
GDAX.BTC-USD,D,20150304,000000,283.0900000,287.0000000,267.3900000,273.3700000,14711
GDAX.BTC-USD,D,20150305,000000,273.3800000,281.0900000,262.4900000,276.8600000,11601
GDAX.BTC-USD,D,20150306,000000,276.5400000,280.0000000,269.1200000,273.2300000,10121
GDAX.BTC-USD,D,20150307,000000,273.2200000,279.4400000,270.5500000,276.8900000,6216
GDAX.BTC-USD,D,20150308,000000,276.8600000,278.9700000,270.2900000,275.5000000,5097
GDAX.BTC-USD,D,20150309,000000,275.4700000,294.4200000,275.0000000,290.1900000,13738
GDAX.BTC-USD,D,20150310,000000,290.2000000,299.4800000,289.8200000,293.4700000,16246
GDAX.BTC-USD,D,20150311,000000,293.4600000,297.8000000,290.5100000,296.9900000,9756
GDAX.BTC-USD,D,20150312,000000,296.9800000,298.9000000,291.8700000,296.0500000,9617
GDAX.BTC-USD,D,20150313,000000,295.8700000,296.4300000,284.0000000,284.0000000,12022
GDAX.BTC-USD,D,20150314,000000,284.3700000,289.0000000,280.8600000,283.9500000,7254
GDAX.BTC-USD,D,20150315,000000,283.7700000,289.2400000,282.5000000,288.0000000,4393
GDAX.BTC-USD,D,20150316,000000,287.9900000,294.9900000,287.4100000,292.3700000,8834
GDAX.BTC-USD,D,20150317,000000,292.3600000,293.6900000,284.0100000,286.7400000,7772
GDAX.BTC-USD,D,20150318,000000,286.6300000,287.0000000,250.0000000,258.5000000,18682
GDAX.BTC-USD,D,20150319,000000,258.6200000,266.8000000,249.2000000,263.0500000,16397
GDAX.BTC-USD,D,20150320,000000,263.0600000,267.4200000,259.3100000,263.3100000,7539
GDAX.BTC-USD,D,20150321,000000,263.3100000,263.6200000,256.6600000,261.9000000,5982
GDAX.BTC-USD,D,20150322,000000,261.5700000,271.2700000,259.7100000,269.4500000,5799
GDAX.BTC-USD,D,20150323,000000,269.2500000,273.9900000,260.8100000,267.5300000,13628
GDAX.BTC-USD,D,20150324,000000,267.5400000,268.5100000,244.8600000,246.1500000,17670
GDAX.BTC-USD,D,20150325,000000,246.2900000,249.9900000,234.5100000,246.8800000,11815
GDAX.BTC-USD,D,20150326,000000,246.9900000,254.9000000,244.9200000,249.8800000,10870
GDAX.BTC-USD,D,20150327,000000,249.7600000,250.9900000,246.4400000,247.8100000,8422
GDAX.BTC-USD,D,20150328,000000,247.9300000,254.9900000,247.8100000,253.5200000,5857
GDAX.BTC-USD,D,20150329,000000,253.6000000,254.0000000,241.0000000,243.6900000,8496
GDAX.BTC-USD,D,20150330,000000,243.6000000,250.0600000,237.9400000,248.7800000,11461
GDAX.BTC-USD,D,20150331,000000,248.7800000,249.9800000,242.8700000,245.5000000,8064
GDAX.BTC-USD,D,20150401,000000,245.5000000,248.2200000,241.0700000,247.8700000,9877
GDAX.BTC-USD,D,20150402,000000,247.5000000,255.2400000,245.8000000,254.3900000,8635
GDAX.BTC-USD,D,20150403,000000,254.7900000,257.4300000,252.5900000,254.8400000,7169
GDAX.BTC-USD,D,20150404,000000,255.0000000,256.6000000,251.2600000,254.3600000,4269
GDAX.BTC-USD,D,20150405,000000,254.3700000,262.0000000,252.0600000,261.4700000,5153
GDAX.BTC-USD,D,20150406,000000,261.4900000,263.0000000,255.0000000,256.8500000,7489
GDAX.BTC-USD,D,20150407,000000,256.8400000,258.7000000,253.4500000,254.2700000,7843
GDAX.BTC-USD,D,20150408,000000,254.2300000,255.7500000,244.2900000,246.5800000,7481
GDAX.BTC-USD,D,20150409,000000,246.8100000,248.1600000,239.0200000,244.7400000,7602
GDAX.BTC-USD,D,20150410,000000,244.4600000,244.6600000,232.3500000,236.7800000,11462
GDAX.BTC-USD,D,20150411,000000,236.7800000,239.9900000,234.7700000,237.9100000,5611
GDAX.BTC-USD,D,20150412,000000,237.9100000,239.1600000,234.0200000,237.5500000,4355
GDAX.BTC-USD,D,20150413,000000,237.5700000,238.0000000,220.7700000,225.7300000,11610
GDAX.BTC-USD,D,20150414,000000,225.4200000,226.9000000,216.9200000,221.0500000,12028
GDAX.BTC-USD,D,20150415,000000,221.0500000,224.5200000,218.0900000,224.3500000,8702
GDAX.BTC-USD,D,20150416,000000,224.3500000,230.7500000,223.6600000,229.4500000,8221
GDAX.BTC-USD,D,20150417,000000,229.4500000,230.0800000,220.4600000,223.6200000,7318
GDAX.BTC-USD,D,20150418,000000,223.5500000,224.0400000,222.1800000,224.0200000,4448
GDAX.BTC-USD,D,20150419,000000,224.0400000,226.7200000,223.4400000,224.0300000,4625
GDAX.BTC-USD,D,20150420,000000,224.0300000,227.4500000,223.4500000,225.3700000,7480
GDAX.BTC-USD,D,20150421,000000,225.3500000,235.8900000,224.0100000,235.8900000,9499
GDAX.BTC-USD,D,20150422,000000,235.8900000,238.6000000,232.7800000,233.9800000,7357
GDAX.BTC-USD,D,20150423,000000,233.9600000,236.5400000,232.7900000,235.9900000,6540
GDAX.BTC-USD,D,20150424,000000,235.9500000,236.9300000,230.1200000,231.5100000,6438
GDAX.BTC-USD,D,20150425,000000,231.5100000,233.6700000,226.8300000,227.0500000,4895
GDAX.BTC-USD,D,20150426,000000,227.0500000,227.9100000,215.5600000,221.2700000,9488
GDAX.BTC-USD,D,20150427,000000,221.2700000,231.1100000,218.7800000,227.5800000,12001
GDAX.BTC-USD,D,20150428,000000,227.4100000,229.0400000,220.4600000,225.6400000,6777
GDAX.BTC-USD,D,20150429,000000,225.3900000,227.3000000,220.2000000,225.6000000,6733
GDAX.BTC-USD,D,20150430,000000,225.7800000,240.0000000,225.1000000,236.8100000,11326
GDAX.BTC-USD,D,20150501,000000,236.7800000,238.7800000,233.0100000,233.1400000,9968
GDAX.BTC-USD,D,20150502,000000,233.1500000,237.1500000,233.0000000,235.9400000,6149
GDAX.BTC-USD,D,20150503,000000,235.9400000,242.9700000,234.2600000,240.7800000,5688
GDAX.BTC-USD,D,20150504,000000,240.8800000,243.9900000,238.0600000,239.7500000,8809
GDAX.BTC-USD,D,20150505,000000,239.7500000,240.0000000,232.0000000,236.7600000,9218
GDAX.BTC-USD,D,20150506,000000,236.7600000,237.8700000,228.3800000,230.0000000,7799
GDAX.BTC-USD,D,20150507,000000,230.0000000,239.1800000,228.6700000,237.9900000,8719
GDAX.BTC-USD,D,20150508,000000,237.9700000,247.0600000,236.3500000,244.5400000,8409
GDAX.BTC-USD,D,20150509,000000,244.4400000,247.6000000,240.0000000,242.5000000,4958
GDAX.BTC-USD,D,20150510,000000,242.5900000,244.8900000,239.6300000,241.5700000,4986
GDAX.BTC-USD,D,20150511,000000,241.5900000,245.4900000,239.5000000,242.8600000,6137
GDAX.BTC-USD,D,20150512,000000,242.7400000,243.4000000,240.3700000,242.0300000,6283
GDAX.BTC-USD,D,20150513,000000,242.0400000,244.1300000,235.5400000,236.3200000,9990
GDAX.BTC-USD,D,20150514,000000,236.9300000,240.0000000,232.6100000,237.4600000,10338
GDAX.BTC-USD,D,20150515,000000,237.3900000,239.0000000,236.8900000,237.8200000,9059
GDAX.BTC-USD,D,20150516,000000,237.9100000,237.9900000,235.4800000,236.7300000,2688
GDAX.BTC-USD,D,20150517,000000,236.7200000,238.4500000,236.7000000,237.1200000,4876
GDAX.BTC-USD,D,20150518,000000,237.1000000,237.8900000,231.6600000,234.0400000,7058
GDAX.BTC-USD,D,20150519,000000,234.0400000,234.9200000,231.5300000,232.5900000,6876
GDAX.BTC-USD,D,20150520,000000,232.5800000,235.0000000,232.5400000,234.5400000,7030
GDAX.BTC-USD,D,20150521,000000,234.5500000,236.7400000,234.1600000,235.7700000,6217
GDAX.BTC-USD,D,20150522,000000,235.7700000,242.0000000,235.1100000,240.4500000,7679
GDAX.BTC-USD,D,20150523,000000,240.4100000,240.6400000,237.8900000,239.3600000,3664
GDAX.BTC-USD,D,20150524,000000,239.3800000,242.0000000,238.2700000,240.8200000,3349
GDAX.BTC-USD,D,20150525,000000,240.6800000,241.4000000,236.7100000,237.4300000,3927
GDAX.BTC-USD,D,20150526,000000,237.3900000,238.3400000,235.8100000,236.7900000,6182
GDAX.BTC-USD,D,20150527,000000,236.8000000,238.7500000,236.4700000,237.3500000,6530
GDAX.BTC-USD,D,20150528,000000,237.3500000,238.4800000,236.2300000,237.3400000,5982
GDAX.BTC-USD,D,20150529,000000,237.2500000,237.6800000,235.0100000,236.8900000,6364
GDAX.BTC-USD,D,20150530,000000,236.8900000,236.9900000,231.0000000,233.5500000,6247
GDAX.BTC-USD,D,20150531,000000,233.6100000,233.9400000,229.5500000,230.2100000,5860
GDAX.BTC-USD,D,20150601,000000,230.1800000,230.9900000,221.5800000,223.5600000,10146
GDAX.BTC-USD,D,20150602,000000,223.5500000,226.6800000,221.8400000,225.8500000,8958
GDAX.BTC-USD,D,20150603,000000,225.8300000,227.4500000,223.8200000,225.8600000,6827
GDAX.BTC-USD,D,20150604,000000,225.8500000,226.0700000,223.5600000,224.5700000,5924
GDAX.BTC-USD,D,20150605,000000,224.5700000,226.7400000,223.0100000,224.9700000,6583
GDAX.BTC-USD,D,20150606,000000,225.0300000,225.6100000,224.2700000,225.4800000,3566
GDAX.BTC-USD,D,20150607,000000,225.4800000,226.0900000,222.8800000,223.8900000,3569
GDAX.BTC-USD,D,20150608,000000,223.8800000,230.1600000,223.6300000,229.1000000,6931
GDAX.BTC-USD,D,20150609,000000,229.1000000,232.0600000,228.3100000,229.1800000,6323
GDAX.BTC-USD,D,20150610,000000,229.3100000,230.4500000,227.9800000,228.7300000,5938
GDAX.BTC-USD,D,20150611,000000,228.7900000,230.9200000,228.7000000,229.6900000,5564
GDAX.BTC-USD,D,20150612,000000,229.6800000,231.3200000,229.0100000,229.4700000,6022
GDAX.BTC-USD,D,20150613,000000,229.2100000,233.4900000,228.7900000,233.4700000,4094
GDAX.BTC-USD,D,20150614,000000,233.4900000,235.0000000,232.5300000,233.6000000,2266
GDAX.BTC-USD,D,20150615,000000,233.6100000,238.5000000,233.6000000,236.9900000,6011
GDAX.BTC-USD,D,20150616,000000,236.9200000,253.2600000,236.0100000,251.9100000,10400
GDAX.BTC-USD,D,20150617,000000,251.8800000,259.4600000,247.0000000,250.2500000,9861
GDAX.BTC-USD,D,20150618,000000,250.1800000,253.2900000,243.5100000,249.2700000,8191
GDAX.BTC-USD,D,20150619,000000,249.3300000,251.0500000,245.0400000,246.3300000,6069
GDAX.BTC-USD,D,20150620,000000,246.3300000,246.9900000,240.4600000,246.1300000,4328
GDAX.BTC-USD,D,20150621,000000,246.0800000,246.9800000,242.0000000,244.6600000,3632
GDAX.BTC-USD,D,20150622,000000,244.6600000,248.5000000,243.8600000,247.5000000,5542
GDAX.BTC-USD,D,20150623,000000,247.4800000,248.0600000,243.0100000,244.5200000,5263
GDAX.BTC-USD,D,20150624,000000,244.5400000,244.9200000,239.5100000,240.0400000,5281
GDAX.BTC-USD,D,20150625,000000,240.1400000,243.4400000,239.9100000,242.4400000,5637
GDAX.BTC-USD,D,20150626,000000,242.4600000,243.1000000,239.9100000,243.0000000,6508
GDAX.BTC-USD,D,20150627,000000,242.9900000,252.2200000,242.6000000,251.5900000,5242
GDAX.BTC-USD,D,20150628,000000,251.4600000,251.8700000,247.5100000,249.1100000,4231
GDAX.BTC-USD,D,20150629,000000,249.1100000,257.9900000,249.0900000,257.5400000,10380
GDAX.BTC-USD,D,20150630,000000,257.5300000,269.3900000,255.9100000,263.8200000,11993
GDAX.BTC-USD,D,20150701,000000,263.8300000,265.4500000,255.1200000,259.0200000,8225
GDAX.BTC-USD,D,20150702,000000,258.9600000,262.0000000,253.0000000,254.8500000,6260
GDAX.BTC-USD,D,20150703,000000,254.8600000,257.3700000,252.7700000,256.9500000,4759
GDAX.BTC-USD,D,20150704,000000,256.9400000,261.0000000,254.4000000,260.6400000,4034
GDAX.BTC-USD,D,20150705,000000,260.6400000,275.2500000,258.9900000,271.7400000,8420
GDAX.BTC-USD,D,20150706,000000,272.1700000,277.8800000,268.2700000,269.9400000,9984
GDAX.BTC-USD,D,20150707,000000,269.7800000,272.1100000,264.5000000,266.1800000,6946
GDAX.BTC-USD,D,20150708,000000,266.1800000,273.9700000,264.4100000,270.9700000,7763
GDAX.BTC-USD,D,20150709,000000,271.5000000,272.5000000,267.1000000,269.7500000,6942
GDAX.BTC-USD,D,20150710,000000,269.7700000,294.7100000,269.0000000,286.6700000,15862
GDAX.BTC-USD,D,20150711,000000,286.7100000,299.0000000,284.5000000,294.2300000,8476
GDAX.BTC-USD,D,20150712,000000,294.2900000,316.5200000,293.5000000,312.1600000,12896
GDAX.BTC-USD,D,20150713,000000,312.1900000,312.9100000,281.6200000,293.0800000,12942
GDAX.BTC-USD,D,20150714,000000,292.9300000,297.7800000,286.2500000,287.5100000,7114
GDAX.BTC-USD,D,20150715,000000,287.4800000,294.1100000,284.9800000,285.7000000,7552
GDAX.BTC-USD,D,20150716,000000,285.7000000,292.7800000,275.0000000,279.3800000,8576
GDAX.BTC-USD,D,20150717,000000,279.3800000,281.3800000,272.6400000,280.5800000,6967
GDAX.BTC-USD,D,20150718,000000,280.1400000,282.7100000,276.3400000,277.7100000,4245
GDAX.BTC-USD,D,20150719,000000,277.7100000,278.4800000,275.0000000,275.6100000,3441
GDAX.BTC-USD,D,20150720,000000,275.6000000,280.0000000,273.3400000,280.0000000,5450
GDAX.BTC-USD,D,20150721,000000,279.9600000,281.2700000,276.8500000,277.3200000,4910
GDAX.BTC-USD,D,20150722,000000,277.3300000,278.5400000,275.0100000,277.8900000,4651
GDAX.BTC-USD,D,20150723,000000,277.9600000,279.7500000,276.2800000,277.3900000,5262
GDAX.BTC-USD,D,20150724,000000,277.2300000,291.5200000,276.4300000,289.1200000,7323
GDAX.BTC-USD,D,20150725,000000,289.1200000,291.6700000,286.8200000,289.7000000,4053
GDAX.BTC-USD,D,20150726,000000,289.6800000,294.4900000,288.6500000,293.8900000,3682
GDAX.BTC-USD,D,20150727,000000,293.8800000,297.0000000,287.2400000,294.2100000,6432
GDAX.BTC-USD,D,20150728,000000,294.2200000,298.0000000,293.6500000,295.7600000,5746
GDAX.BTC-USD,D,20150729,000000,295.7400000,296.5800000,289.0100000,290.1900000,5194
GDAX.BTC-USD,D,20150730,000000,290.2600000,291.5600000,286.5600000,288.4900000,5080
GDAX.BTC-USD,D,20150731,000000,288.4900000,290.0000000,282.7900000,285.1900000,5637
GDAX.BTC-USD,D,20150801,000000,285.2000000,285.6000000,277.2600000,281.5300000,3890
GDAX.BTC-USD,D,20150802,000000,281.5300000,282.6200000,277.3300000,282.6200000,3325
GDAX.BTC-USD,D,20150803,000000,282.6200000,285.8600000,280.2700000,280.9500000,4745
GDAX.BTC-USD,D,20150804,000000,280.9500000,286.4700000,280.1100000,285.5100000,5559
GDAX.BTC-USD,D,20150805,000000,285.6000000,286.2500000,282.0100000,282.7700000,5740
GDAX.BTC-USD,D,20150806,000000,282.4400000,282.6100000,278.9500000,279.6500000,5020
GDAX.BTC-USD,D,20150807,000000,279.3700000,281.1700000,277.0500000,279.9400000,5175
GDAX.BTC-USD,D,20150808,000000,280.0600000,280.1600000,260.0700000,262.0200000,6058
GDAX.BTC-USD,D,20150809,000000,262.0200000,268.8000000,260.9700000,267.6300000,5029
GDAX.BTC-USD,D,20150810,000000,267.6000000,268.8900000,263.1700000,265.1500000,5442
GDAX.BTC-USD,D,20150811,000000,265.1500000,271.9900000,264.9100000,271.9900000,5764
GDAX.BTC-USD,D,20150812,000000,271.9900000,272.4000000,265.7900000,266.9400000,6308
GDAX.BTC-USD,D,20150813,000000,266.8100000,267.8200000,262.9400000,264.6700000,5304
GDAX.BTC-USD,D,20150814,000000,264.4800000,267.9800000,262.5000000,266.1700000,6837
GDAX.BTC-USD,D,20150815,000000,266.2100000,267.6900000,261.7700000,262.4600000,4074
GDAX.BTC-USD,D,20150816,000000,262.4500000,263.1000000,255.6700000,259.2000000,5471
GDAX.BTC-USD,D,20150817,000000,259.2000000,261.5700000,255.5800000,257.3100000,6930
GDAX.BTC-USD,D,20150818,000000,257.5600000,258.0400000,200.0000000,221.9900000,11522
GDAX.BTC-USD,D,20150819,000000,221.9900000,238.9900000,214.9100000,227.3400000,13300
GDAX.BTC-USD,D,20150820,000000,227.4600000,238.2000000,227.4500000,235.5600000,8796
GDAX.BTC-USD,D,20150821,000000,235.5600000,236.9900000,231.1500000,232.8500000,8285
GDAX.BTC-USD,D,20150822,000000,232.8500000,235.5300000,222.6800000,231.1500000,7144
GDAX.BTC-USD,D,20150823,000000,231.1600000,233.2500000,226.1500000,229.2100000,4271
GDAX.BTC-USD,D,20150824,000000,229.2300000,229.2400000,210.0000000,211.1600000,16522
GDAX.BTC-USD,D,20150825,000000,211.1600000,229.4900000,198.0200000,223.7300000,19666
GDAX.BTC-USD,D,20150826,000000,223.7300000,231.9700000,220.1600000,226.8100000,9706
GDAX.BTC-USD,D,20150827,000000,226.7200000,229.9900000,224.0000000,225.8000000,7836
GDAX.BTC-USD,D,20150828,000000,225.6200000,236.1800000,221.2000000,231.5500000,9109
GDAX.BTC-USD,D,20150829,000000,231.5500000,233.9500000,228.0000000,230.6100000,4436
GDAX.BTC-USD,D,20150830,000000,230.6100000,233.4700000,226.5900000,229.3900000,4954
GDAX.BTC-USD,D,20150831,000000,229.4000000,233.0000000,225.2300000,230.7500000,6956
GDAX.BTC-USD,D,20150901,000000,230.7600000,233.5000000,226.4200000,228.2200000,8544
GDAX.BTC-USD,D,20150902,000000,228.2200000,231.4300000,226.4300000,229.9700000,7450
GDAX.BTC-USD,D,20150903,000000,229.9500000,230.7900000,226.4800000,227.2500000,6649
GDAX.BTC-USD,D,20150904,000000,227.2400000,232.4900000,227.2400000,231.3900000,7040
GDAX.BTC-USD,D,20150905,000000,231.4300000,237.2400000,230.1200000,236.0100000,5567
GDAX.BTC-USD,D,20150906,000000,236.2000000,244.8200000,235.5400000,241.2900000,5213
GDAX.BTC-USD,D,20150907,000000,241.2600000,242.9800000,239.2100000,241.3100000,4860
GDAX.BTC-USD,D,20150908,000000,241.3100000,247.8200000,240.3100000,244.1400000,8255
GDAX.BTC-USD,D,20150909,000000,244.2400000,244.6900000,238.6000000,238.7500000,6773
GDAX.BTC-USD,D,20150910,000000,238.7400000,241.4000000,236.6900000,238.5200000,5779
GDAX.BTC-USD,D,20150911,000000,238.5500000,241.5400000,238.5000000,240.9000000,5812
GDAX.BTC-USD,D,20150912,000000,240.9000000,241.1200000,235.2600000,236.5000000,5456
GDAX.BTC-USD,D,20150913,000000,236.5000000,236.9100000,229.7200000,230.8200000,4976
GDAX.BTC-USD,D,20150914,000000,230.8300000,233.9900000,228.0100000,231.0100000,7967
GDAX.BTC-USD,D,20150915,000000,231.0200000,232.4300000,230.2600000,230.6000000,7085
GDAX.BTC-USD,D,20150916,000000,230.6700000,232.0000000,226.8500000,229.7300000,7616
GDAX.BTC-USD,D,20150917,000000,229.7200000,235.9300000,229.0100000,233.3400000,7498
GDAX.BTC-USD,D,20150918,000000,233.3100000,234.9600000,231.7500000,233.7800000,4647
GDAX.BTC-USD,D,20150919,000000,233.7800000,234.3100000,232.0000000,232.8800000,3553
GDAX.BTC-USD,D,20150920,000000,232.8800000,234.0000000,231.8400000,232.2400000,3633
GDAX.BTC-USD,D,20150921,000000,232.2600000,233.6400000,226.8700000,227.3100000,7565
GDAX.BTC-USD,D,20150922,000000,227.3100000,232.5000000,224.4500000,231.2800000,8868
GDAX.BTC-USD,D,20150923,000000,231.3100000,233.0000000,229.2700000,230.2600000,6309
GDAX.BTC-USD,D,20150924,000000,230.2600000,235.9900000,230.0900000,235.2700000,9325
GDAX.BTC-USD,D,20150925,000000,235.3500000,237.6200000,234.0200000,235.8900000,6156
GDAX.BTC-USD,D,20150926,000000,235.8800000,236.2000000,233.5000000,234.6900000,4107
GDAX.BTC-USD,D,20150927,000000,234.6700000,235.0300000,233.2000000,233.5800000,3248
GDAX.BTC-USD,D,20150928,000000,233.5300000,240.5200000,233.5300000,239.9900000,8080
GDAX.BTC-USD,D,20150929,000000,239.9600000,241.0500000,236.6500000,236.8900000,6938
GDAX.BTC-USD,D,20150930,000000,236.8800000,238.7500000,236.2600000,237.1400000,5447
GDAX.BTC-USD,D,20151001,000000,237.1000000,239.8600000,236.9000000,238.3400000,5625
GDAX.BTC-USD,D,20151002,000000,238.3400000,239.4000000,236.9700000,238.2800000,5871
GDAX.BTC-USD,D,20151003,000000,238.3100000,240.6200000,237.7300000,239.9200000,4288
GDAX.BTC-USD,D,20151004,000000,239.9300000,240.2800000,239.0700000,239.8700000,3741
GDAX.BTC-USD,D,20151005,000000,239.8700000,240.9800000,237.5000000,240.9500000,7455
GDAX.BTC-USD,D,20151006,000000,240.9300000,248.0000000,240.3100000,246.6400000,9557
GDAX.BTC-USD,D,20151007,000000,246.7000000,247.9600000,240.2000000,244.0000000,8790
GDAX.BTC-USD,D,20151008,000000,244.0000000,245.3800000,242.2000000,242.9400000,5573
GDAX.BTC-USD,D,20151009,000000,242.9400000,244.8800000,241.1000000,244.3500000,4892
GDAX.BTC-USD,D,20151010,000000,244.4400000,246.1000000,243.8000000,246.0700000,3635
GDAX.BTC-USD,D,20151011,000000,246.0600000,250.0000000,245.6300000,249.0200000,4279
GDAX.BTC-USD,D,20151012,000000,249.0100000,249.1400000,245.8900000,246.3900000,5367
GDAX.BTC-USD,D,20151013,000000,246.4300000,251.5000000,244.8600000,250.9900000,6460
GDAX.BTC-USD,D,20151014,000000,250.9800000,255.0000000,250.2500000,253.2700000,7555
GDAX.BTC-USD,D,20151015,000000,253.2500000,256.7700000,253.1800000,254.9900000,6638
GDAX.BTC-USD,D,20151016,000000,254.9800000,267.6000000,254.8600000,263.4300000,9205
GDAX.BTC-USD,D,20151017,000000,263.4500000,274.8100000,263.0500000,272.8700000,11003
GDAX.BTC-USD,D,20151018,000000,272.8800000,273.5000000,262.9400000,265.0000000,5628
GDAX.BTC-USD,D,20151019,000000,265.0000000,268.2300000,262.0500000,265.1700000,5360
